"filename", "language", "HTML", "JavaScript", "CSS", "JSON", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\caleb\OneDrive\Documents\GitHub\a3-CalebTalley2024\.env", "Properties", 0, 0, 0, 0, 3, 0, 3, 3, 9
"c:\Users\caleb\OneDrive\Documents\GitHub\a3-CalebTalley2024\README.md", "Markdown", 0, 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\caleb\OneDrive\Documents\GitHub\a3-CalebTalley2024\package-lock.json", "JSON", 0, 0, 0, 1658, 0, 0, 0, 1, 1659
"c:\Users\caleb\OneDrive\Documents\GitHub\a3-CalebTalley2024\package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\caleb\OneDrive\Documents\GitHub\a3-CalebTalley2024\public\client.js", "JavaScript", 0, 101, 0, 0, 0, 0, 35, 45, 181
"c:\Users\caleb\OneDrive\Documents\GitHub\a3-CalebTalley2024\public\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\caleb\OneDrive\Documents\GitHub\a3-CalebTalley2024\server.js", "JavaScript", 0, 80, 0, 0, 0, 0, 44, 28, 152
"c:\Users\caleb\OneDrive\Documents\GitHub\a3-CalebTalley2024\views\index.html", "HTML", 12, 0, 0, 0, 0, 0, 22, 1, 35
"c:\Users\caleb\OneDrive\Documents\GitHub\a3-CalebTalley2024\views\main.html", "HTML", 85, 0, 0, 0, 0, 0, 2, 10, 97
"c:\Users\caleb\OneDrive\Documents\GitHub\a3-CalebTalley2024\views\test.html", "HTML", 16, 0, 0, 0, 0, 0, 1, 3, 20
"Total", "-", 113, 181, 0, 1692, 3, 5, 107, 95, 2196
