item,type
item0,Canned / Jarred Goods
item1,Dairy
item2,Dry / Baking Goods
item3,Frozen
item4,Grains
item5,Meat
item6,Produce
item7,Other
item8,Canned / Jarred Goods
item9,Dairy
item10,Dry / Baking Goods
item11,Frozen
item12,Grains
item13,Meat
item14,Produce
item15,Other
item16,Canned / Jarred Goods
item17,Dairy
item18,Dry / Baking Goods
item19,Frozen
item20,Grains
item21,Meat
item22,Produce
item23,Other
item24,Canned / Jarred Goods
item25,Dairy
item26,Dry / Baking Goods
item27,Frozen
item28,Grains
item29,Meat
item30,Produce
item31,Other
item32,Canned / Jarred Goods
item33,Dairy
item34,Dry / Baking Goods
item35,Frozen
item36,Grains
item37,Meat
item38,Produce
item39,Other
item40,Canned / Jarred Goods
item41,Dairy
item42,Dry / Baking Goods
item43,Frozen
item44,Grains
item45,Meat
item46,Produce
item47,Other
item48,Canned / Jarred Goods
item49,Dairy
item50,Dry / Baking Goods
item51,Frozen
item52,Grains
item53,Meat
item54,Produce
item55,Other
item56,Canned / Jarred Goods
item57,Dairy
item58,Dry / Baking Goods
item59,Frozen
item60,Grains
item61,Meat
item62,Produce
item63,Other
item64,Canned / Jarred Goods
item65,Dairy
item66,Dry / Baking Goods
item67,Frozen
item68,Grains
item69,Meat
item70,Produce
item71,Other
item72,Canned / Jarred Goods
item73,Dairy
item74,Dry / Baking Goods
item75,Frozen
item76,Grains
item77,Meat
item78,Produce
item79,Other
item80,Canned / Jarred Goods
item81,Dairy
item82,Dry / Baking Goods
item83,Frozen
item84,Grains
item85,Meat
item86,Produce
item87,Other
item88,Canned / Jarred Goods
item89,Dairy
item90,Dry / Baking Goods
item91,Frozen
item92,Grains
item93,Meat
item94,Produce
item95,Other
item96,Canned / Jarred Goods
item97,Dairy
item98,Dry / Baking Goods
item99,Frozen
item100,Grains
item101,Meat
item102,Produce
item103,Other
item104,Canned / Jarred Goods
item105,Dairy
item106,Dry / Baking Goods
item107,Frozen
item108,Grains
item109,Meat
item110,Produce
item111,Other
item112,Canned / Jarred Goods
item113,Dairy
item114,Dry / Baking Goods
item115,Frozen
item116,Grains
item117,Meat
item118,Produce
item119,Other
item120,Canned / Jarred Goods
item121,Dairy
item122,Dry / Baking Goods
item123,Frozen
item124,Grains
item125,Meat
item126,Produce
item127,Other
item128,Canned / Jarred Goods
item129,Dairy
item130,Dry / Baking Goods
item131,Frozen
item132,Grains
item133,Meat
item134,Produce
item135,Other
item136,Canned / Jarred Goods
item137,Dairy
item138,Dry / Baking Goods
item139,Frozen
item140,Grains
item141,Meat
item142,Produce
item143,Other
item144,Canned / Jarred Goods
item145,Dairy
item146,Dry / Baking Goods
item147,Frozen
item148,Grains
item149,Meat
item150,Produce
item151,Other
item152,Canned / Jarred Goods
item153,Dairy
item154,Dry / Baking Goods
item155,Frozen
item156,Grains
item157,Meat
item158,Produce
item159,Other
item160,Canned / Jarred Goods
item161,Dairy
item162,Dry / Baking Goods
item163,Frozen
item164,Grains
item165,Meat
item166,Produce
item167,Other
item168,Canned / Jarred Goods
item169,Dairy
item170,Dry / Baking Goods
item171,Frozen
item172,Grains
item173,Meat
item174,Produce
item175,Other
item176,Canned / Jarred Goods
item177,Dairy
item178,Dry / Baking Goods
item179,Frozen
item180,Grains
item181,Meat
item182,Produce
item183,Other
item184,Canned / Jarred Goods
item185,Dairy
item186,Dry / Baking Goods
item187,Frozen
item188,Grains
