Grade,Color,Section,Type
VB,Brown,1,b
V1,White,1,b
V4,Purple,1,b
v2,red,1,b
v0,yellow,1,b
v8,blue,1,b
v5,green,1,b
v7,black,1,b
v3,orange,1,b
v3,red,2,b
v6,purple,1,b
v9,white,1,b
v10,blue,2,b
v3,yellow,2,b
v9,orange,3,b
v2,black,3,b
v1,green,3,b
v5,red,3,b
v6,purple,3,b
v4,white,3,b
v9,orange,4,b
v3,blue,4,b
v8,yellow,4,b
v4,green,4,b
v1,black,4,b
v8,white,5,b
v0,yellow,5,b
v2,red,5,b
v5,purple,5,b
v6,black,5,b
v4,orange,5,b
v7,blue,5,b
v7,green,6,b
v5,orange,6,b
v1,black,6,b
v4,yellow,6,b
v7,blue,6,b
v2,white,6,b
v5,black,6,b
v6,green,6,b
5.10+,white,7,tr
5.9,green,7,tr
5.5,blue,7,tr
5.8,orange,7,tr
5.11,black,7,tr
5.11,yellow,7,tr
5.7,red,8,tr
5.10,purple,8,ltr
5.11+,white,8,ltr
5.7,green,8,ltr
5.8,black,8,tr
5.9,blue,9,tr
5.10-,red,9,tr
5.6,yellow,9,tr
5.9,white,10,tr
5.7,purple,10,tr
5.10-,black,10,tr
5.10+,orange,10,tr
5.5,green,10,tr
5.11+,yellow,11,tr
5.7,blue,11,tr
5.7,white,12,tr
5.10,purple,12,ltr
5.7,red,12,ltr
5.9,green,12,ltr
5.12,black,12,l
5.10+,orange,13,l
5.9,blue,13,l
5.11-,yellow,14,l
5.12+,red,14,l
5.10+,purple,14,l
5.10+,white,14,l
5.12-,black,14,l
5.11,orange,14,l
5.11+,green,14,l
5.8,blue,15,l
5.10+,yellow,15,l
5.11,red,15,l
5.8,white,16,tr
5.11+,purple,16,tr
5.11+,black,17,tr
5.6,orange,17,tr
5.9,blue,17,tr
5.7,yellow,17,tr
5.9,red,17,tr
5.11-,white,18,tr
5.5,purple,18,tr
5.10-,green,18,tr
5.12-,black,18,tr
5.7,orange,19,tr
5.10+,blue,19,tr
5.6,yellow,19,tr
5.10,red,20,tr
5.11-,purple,20,tr
5.8,white,20,tr
5.10+,black,21,tr
5.7,orange,21,tr
5.10,purple,22,ltr
5.9,red,22,ltr
5.12-,white,22,ltr
5.7,green,23,ltr
5.8,black,23,ltr
5.10-,orange,23,ltr
5.11-,blue,24,ltr
5.11,yellow,24,ltr
5.9,red,24,ltr
5.12-,purple,24,ltr
5.11,white,25,ltr
5.8,green,25,ltr
5.10-,black,25,ltr
5.9,orange,25,ltr
5.11-,blue,26,ltr
5.12+,green,27,l
5.10,white,27,l
5.11,black,27,l
5.9,orange,28,ltr
5.12,blue,28,ltr
5.11,yellow,28,ltr
